,ID,Date,Grade,Text,Option,Size,ProductNum,FilteredText,Text_Morpheme
0,날까,2023.04.08,4,쿠폰써서 2만원정도에 6벌이면 정말 싸요. 싼만큼 마감이 안좋은 부분도 있네요. 어깨선 재봉선이 씹힌것도 있어요. 보통 100입는데 M 잘 맞네요.,"White 6-pack, 6, Medium",비공개,3569992365,쿠폰 써서 정도 벌이 정말 싸요 싼만큼 마감 안좋은 부분 있네요 어깨 재봉 씹힌것도 있어요 보통 입는데 맞네요,"[('쿠폰', 'Noun'), ('써서', 'Verb'), ('2만원', 'Number'), ('정도에', 'Foreign'), ('6', 'Number'), ('벌이', 'Noun'), ('면', 'Josa'), ('정말', 'Noun'), ('싸요', 'Verb'), ('.', 'Punctuation'), ('싼만큼', 'Verb'), ('마감', 'Noun'), ('이', 'Josa'), ('안좋은', 'Adjective'), ('부분', 'Noun'), ('도', 'Josa'), ('있네요', 'Adjective'), ('.', 'Punctuation'), ('어깨', 'Noun'), ('선', 'Noun'), ('재봉', 'Noun'), ('선', 'Noun'), ('이', 'Josa'), ('씹힌것도', 'Verb'), ('있어요', 'Adjective'), ('.', 'Punctuation'), ('보통', 'Noun'), ('100', 'Number'), ('입는데', 'Verb'), ('M', 'Alpha'), ('잘', 'Verb'), ('맞네요', 'Verb'), ('.', 'Punctuation')]"
1,newr*****,2023.03.27,5,옷에 비침도 크게 없고 사이즈도 넉넉해서 좋습니다. 이번 여름까지 무난하게 잘 입을 것 같아요.,"XX-Large, 6, White 6-pack",비공개,3569992365,비침도 크게 없고 사이즈 넉넉해서 좋습니다 여름 무난 하게 같아요,"[('옷', 'Noun'), ('에', 'Josa'), ('비침도', 'Verb'), ('크게', 'Noun'), ('없고', 'Adjective'), ('사이즈', 'Noun'), ('도', 'Josa'), ('넉넉해서', 'Adjective'), ('좋습니다', 'Adjective'), ('.', 'Punctuation'), ('이번', 'Noun'), ('여름', 'Noun'), ('까지', 'Josa'), ('무난', 'Noun'), ('하게', 'Verb'), ('잘', 'Verb'), ('입', 'Noun'), ('을', 'Josa'), ('것', 'Noun'), ('같아요', 'Adjective'), ('.', 'Punctuation')]"
2,soch*****,2023.03.31,4,잘 알려진 브랜드입니다.면이 얇고 빨면 줄기도 합니다.올 여름 편하게 입으려고 구매했습니다.잘 받았어요.감사합니다.수고하셨습니다.,"X-Large, 6, Charcoal Heather 6-pack",비공개,3569992365,알려진 브랜드 입니다면이 얇고 줄기 합니다 여름 편하게 입으려고 구매 했습니다 받았어요 감사합니다수고하셨습니다,"[('잘', 'Verb'), ('알려진', 'Verb'), ('브랜드', 'Noun'), ('입니다', 'Adjective'), ('.', 'Punctuation'), ('면', 'Noun'), ('이', 'Josa'), ('얇고', 'Adjective'), ('빨', 'Noun'), ('면', 'Josa'), ('줄기', 'Noun'), ('도', 'Josa'), ('합니다', 'Verb'), ('.', 'Punctuation'), ('올', 'Verb'), ('여름', 'Noun'), ('편하게', 'Adjective'), ('입으려고', 'Verb'), ('구매', 'Noun'), ('했습니다', 'Verb'), ('.', 'Punctuation'), ('잘', 'Verb'), ('받았어요', 'Verb'), ('.', 'Punctuation'), ('감사합니다', 'Verb'), ('.', 'Punctuation'), ('수고', 'Noun'), ('하셨습니다', 'Verb'), ('.', 'Punctuation')]"
3,2045***************,2023.03.02,5,얇아서 비침이 있으며 꽤 부드러운 재질입니다.이너로 입기 괜찮을듯,"6, Large, White 6-pack",비공개,3569992365,얇아서 비침이 있으며 부드러운 재질 입니다 입기 괜찮을듯,"[('얇아서', 'Adjective'), ('비침이', 'Verb'), ('있으며', 'Adjective'), ('꽤', 'Noun'), ('부드러운', 'Adjective'), ('재질', 'Noun'), ('입니다', 'Adjective'), ('.', 'Punctuation'), ('이', 'Determiner'), ('너', 'Noun'), ('로', 'Josa'), ('입기', 'Verb'), ('괜찮을듯', 'Adjective')]"
4,하이하이저요,2023.03.21,3,저렴하게 막 입기 좋네요생각보다 정사이즈인거 같아요 라지입는데 미듐샀더니가슴둘레가 타이트합니다우주패스 좋긴하네요,"Medium, 6, Navy 6-pack",비공개,3569992365,저렴하게 입기 좋네요 생각 보다 정사 이즈 인거 같아요 라지 입는데 샀더니 가슴 둘레 타이 합니다 우주 패스 좋긴 하네요,"[('저렴하게', 'Adjective'), ('막', 'Noun'), ('입기', 'Verb'), ('좋네요', 'Adjective'), ('생각', 'Noun'), ('보다', 'Josa'), ('정사', 'Noun'), ('이즈', 'Noun'), ('인거', 'Josa'), ('같아요', 'Adjective'), ('라지', 'Noun'), ('입는데', 'Verb'), ('미', 'Adjective'), ('듐', 'Noun'), ('샀더니', 'Verb'), ('가슴', 'Noun'), ('둘레', 'Noun'), ('가', 'Josa'), ('타이', 'Noun'), ('트', 'Noun'), ('합니다', 'Verb'), ('우주', 'Noun'), ('패스', 'Noun'), ('좋긴', 'Adjective'), ('하네요', 'Verb')]"
5,민서영둘,2023.04.10,5,105입는데 첨엔 큰가했는데 건조기 돌렸더니 많이 줄어들어서 적당합니다.,"Black 6-pack, 6, X-Large",비공개,3569992365,입는데 가했는데 건조기 돌렸더니 많이 줄어들어서 적당합니다,"[('105', 'Number'), ('입는데', 'Verb'), ('첨', 'Noun'), ('엔', 'Josa'), ('큰', 'Verb'), ('가했는데', 'Verb'), ('건조기', 'Noun'), ('돌렸더니', 'Verb'), ('많이', 'Adverb'), ('줄어들어서', 'Verb'), ('적당합니다', 'Adjective'), ('.', 'Punctuation')]"
6,tson**,2023.02.21,5,"순면 티셔츠 네 장이 한 팩으로 된 구성이고, 이 부문에서 널리 알려진 Hanes 의 제품답게 품질이 좋고 발색이 예쁩니다. 부담없이 일상생활용 혹은 가까운 곳 외출용으로 편안하게 입기 좋습니다.","Medium, Maroon 4-pack, 4",비공개,3569992365,순면 티셔츠 장이 구성 이고 부문 널리 알려진 제품 품질 좋고 발색 예쁩니다 부담 없이 일상생활 가까운 외출 편안하게 입기 좋습니다,"[('순면', 'Noun'), ('티셔츠', 'Noun'), ('네', 'Noun'), ('장이', 'Suffix'), ('한', 'Verb'), ('팩', 'Noun'), ('으로', 'Josa'), ('된', 'Verb'), ('구성', 'Noun'), ('이고', 'Josa'), (',', 'Punctuation'), ('이', 'Noun'), ('부문', 'Noun'), ('에서', 'Josa'), ('널리', 'Noun'), ('알려진', 'Verb'), ('Hanes', 'Alpha'), ('의', 'Noun'), ('제품', 'Noun'), ('답', 'Noun'), ('게', 'Josa'), ('품질', 'Noun'), ('이', 'Josa'), ('좋고', 'Adjective'), ('발색', 'Noun'), ('이', 'Josa'), ('예쁩니다', 'Adjective'), ('.', 'Punctuation'), ('부담', 'Noun'), ('없이', 'Adverb'), ('일상생활', 'Noun'), ('용', 'Noun'), ('혹은', 'Adverb'), ('가까운', 'Adjective'), ('곳', 'Noun'), ('외출', 'Noun'), ('용', 'Noun'), ('으로', 'Josa'), ('편안하게', 'Adjective'), ('입기', 'Verb'), ('좋습니다', 'Adjective'), ('.', 'Punctuation')]"
7,pjsk*,2023.03.30,4,중1 아들 교복안에 입어요기본 면티 면은 토톰하지난 마감이 약간 부족하면 있어요,"Medium, 4, Black 4-pack",비공개,3569992365,아들 교복 입어요 기본 면티 면은 토톰 하지난 마감 부족하면 있어요,"[('중', 'Noun'), ('1', 'Number'), ('아들', 'Noun'), ('교복', 'Noun'), ('안', 'Noun'), ('에', 'Josa'), ('입어요', 'Verb'), ('기본', 'Noun'), ('면티', 'Noun'), ('면은', 'Eomi'), ('토톰', 'Noun'), ('하지난', 'Verb'), ('마감', 'Noun'), ('이', 'Josa'), ('약간', 'Noun'), ('부족하면', 'Adjective'), ('있어요', 'Adjective')]"
8,jik1***,2023.04.21,5,한국 면티에비에 좀 거친느낌이 있긴 하지만 가성비좋고 막입는용도로 대량규매한다면 추천합니다.,0,"3X-Large, White 6-pack, 6",3569992365,한국 면티 거친 느낌 있긴 가성 좋고 입는용 도로 대량 규매 추천 합니다,"[('한국', 'Noun'), ('면티', 'Noun'), ('에', 'Josa'), ('비', 'Noun'), ('에', 'Josa'), ('좀', 'Noun'), ('거친', 'Verb'), ('느낌', 'Noun'), ('이', 'Josa'), ('있긴', 'Adjective'), ('하지만', 'Conjunction'), ('가성', 'Noun'), ('비', 'Noun'), ('좋고', 'Adjective'), ('막', 'Noun'), ('입는용', 'Verb'), ('도로', 'Noun'), ('대량', 'Noun'), ('규매', 'Noun'), ('한', 'Josa'), ('다', 'Adverb'), ('면', 'Noun'), ('추천', 'Noun'), ('합니다', 'Verb'), ('.', 'Punctuation')]"
9,kwan********,2021.11.24,5,두번째 구매입니다. 엑스라지는 많이 커서 라지로 또 구매,0,"Large, White",3569992365,두번째 구매 입니다 엑스 라지 많이 커서 라지 구매,"[('두번째', 'Noun'), ('구매', 'Noun'), ('입니다', 'Adjective'), ('.', 'Punctuation'), ('엑스', 'Noun'), ('라지', 'Noun'), ('는', 'Josa'), ('많이', 'Adverb'), ('커서', 'Noun'), ('라지', 'Noun'), ('로', 'Josa'), ('또', 'Noun'), ('구매', 'Noun')]"
